example,labels
@RadioX @ChrisMoyles wow. not heard this in forever. Random but. great #sting #xph,joy
@PatBlanchfield so you mean “like Uber but for despair for someone other than the driver',disgust
@buzzlightbeard2 If you don't love yourself... Honesty is the best policy #smile,"joy, optimism, trust"
"@healeyraine I'm offended, I actually am","anger, sadness"
"In my room 101 would go  Russell Howard,Tom Odell,Michael Buble!!! #pants #nogood ","anger, disgust, pessimism, sadness"
Gaaaaaaaad! Should have stayed in London!,"anger, disgust, sadness"
May the optimism of tomorrow be your foundation for today.,optimism
@m_giacchino will this be aired on radio or filmed? Lots of fans over the pond too! #wales #lost,"joy, optimism, sadness"
"@GambinoDeeJay @Linda76Graham @mikeeshy \n\nAnd also, trying to find it on Youtube is a fucking nightmare.","anger, disgust"
"@TheSandraGal Glad to see that you're having fun in the sun. Water sports are always fun, challenging, and exhilarating. #happiness #beauty","joy, love, optimism, trust"
@Bungie spent over 2 fucking hours and still can't get that dam SIVA fragment on Fellwinters peak mountain ,"anger, disgust"
@andreasarahco do you actually heely on campus bc this should scare you,fear
#GetSmartWithARQ is a smart way to start investing and #whiteicenetwork is smart source 2 #start #skilled #manpower #recruitment for ur firm,"anticipation, joy, optimism, surprise"
Omg I actually thought she was going to jump. #bully #SouthPark20 #southpark,anticipation
@STLouis_RamsFan their whole team is limited when they're on the field. ,"joy, optimism"
"Happy Birthday, LOST! / #lost #dharmainitiative #12years #22september2004 #oceanic815",joy
"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. #depression  #anxietyprobz","fear, sadness"
"This night is sparkling, don't you let it go! I'm wonderstruck, blushing all the way home..' #ValerieBot","joy, love, optimism, surprise"
The current run of superman continues to be a delight! You can feel the love poured into it by everone on the creative team #superman,"joy, love, optimism"
People who go the speed limit irritate me,"anger, disgust"
#FF \n\n@The_Family_X \n\n#soul #blues &amp; #rock #band\n\n#music from the #heart\n\nWith soul &amp; #passion \n\nXx 🎶 xX,joy
Last @LGCanada product I buy - I promise! Absolutely  #CustomerService,"anger, anticipation, disgust, optimism"
@DaniQays @AJENews ohh.. so here comes sense from terror supporting stone pelting vandalizing ppl who gather b4 protests to announce ...,"anger, disgust, fear"
@jamiesmart Huh! It's always my fault isn't it &gt;:( #huff #sulk,"anger, disgust, sadness"
@StarklyDark 'I know you trusted me.' His words were soft as he ignored the anger and focused on the hurt beneath. 'I know I screwed up.' --,"anger, disgust, sadness"
@HMiglino @CParks777 @Coco_Wms @bodyfit67 @TruthEqualsFact @politicususa I have never been more anxious of a election in my life‼️ ,fear
"@Johncrookshanks 'Elizabeth Smith!' She said with a cheery smile 'Pleasure to meet you, sir! Where have you travelled from?'","anticipation, joy, optimism, trust"
My fav #movies are #horror but they don't make them like they used too. Haven't seen a great one in years,"disgust, sadness"
"James: no 500k, no 50k, no 25k, no 10k. You fucked up. #bb18 #bitter  #shouldofVotedforNicole","anger, disgust, sadness"
I'd like to bridge the divide between Right and Left Twitter and say that the new Tweet truncating thing is fucking awful.,"anger, disgust"
@AzyraiZelo I am shy xD,"fear, pessimism, sadness"
After what just happened. In need to smoke. ,anger
@ATrumping hahahahahaha!! Oh gosh. You are hilarious. A black man trying to keep racism alive. Get out of here man.,"anger, disgust, joy, optimism"
Joes gf started singing all star and then Joe got angry and was all sing it right and started angrily singing it back at her,anger
Chris ate all my mac n cheese so imma eat all his taffy #revenge,"anger, disgust, joy"
"@JohnDotWhite I remember its heyday, but these ladies range in age from, I'd say, mid-30s to early 70s.","anticipation, joy"
@BuzzFeed so this houses will get into my instestines and scare my poop and I'll shit my pants?,"anger, disgust, fear"
I came to work for no reason 😩🔫\nI could've stayed in bed,"anger, pessimism, sadness"
That old lady is cray cray #scared #BellaIsSoCute #awe #Empire,fear
@MatherFamilys @SDICenter @CAllstadt \n\ndo REDNECKS intellectually intimidate you and force you to be their dancing clown?,"anger, disgust, pessimism"
hi my names anxiety and i have shaun,fear
"Sometimes I like to talk about my sadness.  Other times, I just want to be distracted by friends, laughter, shopping, eating...  \n\n#MHChat","disgust, sadness"
Noooooo @GBBOUK without #MaryBerry will be #awful #endofanera going 2b so #lost @Channel4 have bought a #lameduck there #notallaboutthemoney,"anger, disgust, pessimism"
"Ha! @mquirk @joshuahoodbooks Got your book after our 'meeting' at the Starbucks in NOLA. If Josh says it's terrific, I'm all in.","anticipation, joy, optimism, trust"
"On the bright side, my music theory teacher just pocket dabbed and said, 'I know what's hip.' And walked away 😂😭",joy
"@Cpt_SRogers_\n'Well it can go one of two ways. You either get over it and accept it, because it's not going to change, or you mope about --","anger, anticipation, disgust"
"#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. #depression #anxiety #anxietyprobz","fear, sadness"
Morning all! Of course it is sunny on this Monday morning to cheerfully welcome us back to work.:),"joy, optimism"
#ThisIsUs has messed with my mind &amp; now I'm anticipating the next episode with #apprehension &amp; #delight! #isthereahelplineforthis,"anticipation, joy"
"Although this war will be under the guise of combating terrorism it will in fact be a war against poverty, ignorance and just stupidity.","anger, disgust, optimism"
God we need a new goal keeper! They’re both horrific.,"anger, disgust, pessimism"
@maggyvaneijk Old age?! No hope for the rest of us. Destined to become deatheaters by 50 #nightmare,"fear, sadness"
"@asda if I wanted GREEN POTATOES, a bottle with the tag still on, plus soaking wet items delivered - I'm winning today-sadly I didn't ","pessimism, sadness, surprise"
"Everybody's worried about stopping #terrorism. Well, there's a really easy way: stop participating in it. -  Noam Chomsky","fear, optimism"
wow almost all the T-Mobile stores in San Diego are out of Note7 replacements #sadness I need to get mine replaced,"pessimism, sadness"
I am worried that she felt safe. #unhappy,"fear, sadness"
@DaltonRapattoni sadly i have to go to bed now don't announce anything while i'm gone thank u i love you,"joy, love, sadness"
"I look at some of the average players that play at the min and pine Nani, Rafael , RVP ,","joy, optimism"
#ahs6 every 5 minutes I've been saying 'nope nope I'd be gone by now.' 'MOVE' or 'GTFO' so thank you for the ,anger
"@Nikhilv95 @LydiajaneF I wish, I really, truly wish, that I had just a modicum of your banter. ","anticipation, joy, optimism"
HUGE CONGRATULATIONS TO NICOLE WINNING BIG BROTHER 18! @BBNicole #BB18 sorry not sorry #bitter #bbmichelle,"anger, disgust, joy, optimism"
Nothing worse than an uber driver that can't drive. #awful,"anger, disgust"
"Leave it on there, rule,nimber 1 of carpet cleaning!!! #furious #worsethananatomicbomb #accidentlyspillbeeronthecarpet","anger, disgust"
Said it before and I'll say it now: America is really fortunate that black people only want equality and not revenge.,"anticipation, joy"
@RIPPoohSavage u know ion play that shit bout my weary brother,"anger, disgust"
@Gielnorian @HedonismGaming cmode grimrail made me want to eat angry bees,"anger, disgust"
Happy Birthday @Brooke56_56 #cheer #cheerchick #jeep #jeepgirl #IDriveAJeep #jeepjeep #Cheer,"joy, love"
"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.","anger, disgust, fear"
Why are people even debating on race inequality within our justice system like it's non existent? They're just trying to aggravate us.,"anger, disgust"
